State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	3.67387	3.63835	3.61805	3.59776	3.55716	3.54194	3.54701	3.57746	3.48612	3.49119	3.41508	3.26792	3.11569	3.04972	2.83152	2.77570	2.86197	2.77570	2.85689	2.71481	2.52706
2	3.13145	3.11176	3.02641	2.98046	2.79992	2.72771	2.70802	2.59641	2.61939	2.58985	2.48153	2.57344	2.57672	2.65221	2.78679	2.81634	2.79992	2.73427	2.69489	2.65550	2.74412
3	1.85598	1.76544	1.61899	1.58703	1.64828	1.69355	1.60035	1.77077	1.80805	1.78142	1.70420	1.60834	1.57106	1.55774	1.55242	1.69621	1.66958	1.74148	1.73083	1.75745	1.67491
4	1.16843	1.16961	1.22283	1.18617	1.24175	1.27723	1.37657	1.33991	1.38249	1.42388	1.44871	1.43689	1.39550	1.45936	1.47237	1.45581	1.50903	1.53150	1.56698	1.53505	1.52204
5	2.05862	2.05862	2.07051	2.08833	2.07645	2.06457	2.15368	2.21607	2.28736	2.27548	2.21310	2.15071	2.02001	1.99921	1.95168	1.95168	1.89821	1.84177	1.69918	1.72592	1.81206
6	1.50301	1.51963	1.52201	1.48402	1.46265	1.42940	1.38073	1.36055	1.33443	1.30356	1.25963	1.25014	1.26676	1.22283	1.21927	1.17653	1.17772	1.18721	1.18721	1.19196	1.17653
7	3.39249	3.39201	3.39980	3.41978	3.42514	3.43050	3.42368	3.39639	3.36033	3.32915	3.30819	3.26970	3.21951	3.17857	3.12546	3.05188	2.96222	2.90374	2.84576	2.78485	2.71029
8	2.71288	2.71950	2.70627	2.75258	2.72612	2.66657	2.58716	2.50115	2.46806	2.41513	2.26956	2.21001	2.24309	2.24971	2.17031	2.17692	2.26294	2.10414	2.13061	2.07767	2.12399
9	0.57378	0.57090	0.56297	0.55360	0.57739	0.59469	0.61703	0.62712	0.64514	0.65091	0.65524	0.65668	0.66605	0.68551	0.71074	0.74101	0.75399	0.78498	0.79796	0.80373	0.82031
10	0.65537	0.65688	0.65759	0.65920	0.65759	0.65572	0.65290	0.65552	0.65643	0.66137	0.67145	0.68032	0.69106	0.69454	0.70175	0.70805	0.71531	0.72157	0.72908	0.73851	0.74577
11	0.93349	0.93595	0.94293	0.95114	0.95402	0.96264	0.97004	0.96757	0.96552	0.95689	0.94581	0.94006	0.93184	0.92034	0.90186	0.89406	0.88544	0.87681	0.86285	0.85546	0.86162
