State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	6.71391	7.98144	9.65656	10.92857	11.35407	10.44485	7.56042	4.97161	3.46221	2.85307	2.83068	3.55179	5.91666	11.94081	22.63200	31.42413	34.09357	31.64807	26.85115	22.10797	18.28745
2	4.12857	4.79494	5.64673	7.39956	10.34316	15.40755	22.91721	31.67268	38.85785	39.83132	40.70919	44.98552	42.53155	36.32276	26.37941	16.90253	10.49092	6.76507	4.82681	3.61286	2.74369
3	2.86035	3.18469	3.82868	4.66070	5.80296	7.23195	8.59984	8.82548	8.18854	9.21328	9.36370	6.07794	5.90872	5.96513	6.16256	5.97688	5.27648	4.08722	3.13298	2.57126	2.26101
4	2.52297	2.65971	2.81733	3.06785	3.25679	3.19833	2.77766	2.20459	1.66910	1.71816	1.61587	1.29228	1.17745	1.23591	1.27975	1.47286	1.59186	1.72234	1.72547	1.66702	1.50835
5	2.75310	2.67181	2.42010	2.01369	1.63088	1.15106	1.01733	0.84428	0.81282	0.76824	0.80233	0.79446	0.78660	0.86788	0.93605	1.35295	2.73212	4.52819	6.06468	6.78310	6.91945
6	1.32978	1.12858	0.90433	0.71571	0.59311	0.53233	0.48098	0.46946	0.45059	0.46212	0.46002	0.47155	0.49146	0.50928	0.52919	0.55748	0.70209	1.15268	1.78037	2.49084	3.22122
7	0.88859	0.82666	0.76515	0.69634	0.61935	0.55741	0.51354	0.46623	0.43957	0.42666	0.42408	0.43010	0.44043	0.45677	0.48645	0.53548	0.61978	0.76085	0.91483	1.08601	1.21719
8	1.08630	1.00453	0.95781	0.92277	0.98701	0.87020	0.77092	0.63075	0.57819	0.60155	0.59571	0.55483	0.55483	0.63659	0.74172	0.95781	1.15638	1.35495	1.54768	1.74625	1.85722
9	0.68650	0.66614	0.64960	0.61524	0.57007	0.52808	0.47718	0.42565	0.38365	0.38238	0.36775	0.36838	0.37156	0.39002	0.40274	0.41737	0.43964	0.44664	0.45873	0.46764	0.47591
10	0.75036	0.73110	0.70346	0.66412	0.61090	0.54695	0.47633	0.41452	0.37505	0.35427	0.34724	0.34973	0.36330	0.38083	0.40362	0.43005	0.46138	0.48955	0.51091	0.52813	0.54468
11	1.27451	1.29771	1.30315	1.28720	1.25820	1.18969	1.10233	0.98996	0.87940	0.81343	0.78189	0.78153	0.83626	0.90695	0.99938	1.08928	1.15018	1.18353	1.20818	1.20383	1.19622
