State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	0.68517	3.56667	2.84957	2.19480	3.41543	2.83077	11.61706	0.13842
2	1.05921	46.39452	6.48658	1.34139	2.48179	40.70754	17.87717	0.27918
3	1.30569	10.20524	2.04617	1.04123	1.70438	9.36399	5.67880	0.51993
4	2.93991	0.83817	1.12544	1.08563	1.44887	1.61592	2.05485	0.47686
5	1.17041	0.26788	1.94284	2.24634	2.21333	0.80236	2.09561	0.11879
6	2.92855	0.43190	1.65208	2.28934	1.25858	0.46004	0.89214	0.13753
7	7.13503	0.62969	3.68340	2.17269	3.30756	0.42410	0.67846	0.28086
8	0.52545	0.41149	3.01084	1.80187	2.26979	0.59573	0.85416	0.28932
9	4.82334	0.41878	0.50077	0.62248	0.65530	0.36776	0.49906	1.19309
10	68.96134	0.28131	0.59195	0.81218	0.67152	0.34725	0.53536	1.09192
11	8.46590	0.58100	0.82500	0.91313	0.94590	0.78191	1.17736	1.62722
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
