State (Emission order)	H3k09me3	H3k36me3	H4k20me1	H3k79me2	H3k04me1	H3k04me2	H3k09ac	H3k27a	H3k04me3	H2az	H3k27me3
1	0.009002826957731346	0.2374615550853879	0.15917175926945956	0.91945101587906	0.7494028495665922	0.980031412554064	0.9025582050200854	0.8199917420172702	0.8032061953623034	0.048905118705880865	2.431299666101333E-4
2	0.003968823326421056	0.0036303594326060028	0.0015215268225641067	0.2104574732064716	0.37437351857525497	0.8997798387547804	0.9896714820838519	0.991060390364528	0.9895824386382465	0.8676830501010564	0.01402185427771206
3	0.01891105406709522	0.012407775975936003	0.006672532386804889	0.010122568058075872	0.7290035560107934	0.8001782303229872	0.40366427854732395	0.3333427826861933	0.34539132813853674	0.5330532616724465	0.06781285071195024
4	0.012268102417140679	0.010149260039363806	0.003936312552669046	0.005251486811518414	0.5054330293812997	0.07907965738628943	0.017503011971189177	0.020226566526613882	0.0014901033253669458	0.18136469074732187	0.002533524288569951
5	0.010674665684649497	0.27749820624212185	0.19439505657255085	0.7924613084018647	0.8430127799667062	0.28094616676143613	0.10921549861974418	0.0994031527292767	0.03138019742476522	0.001271661785472941	1.2470732962963985E-4
6	0.009192979127556507	0.21604466298961195	0.11882164137816964	0.6930287518912502	0.06391565508591497	0.0010094039050453198	5.720812450549026E-4	0.0010366206149560124	6.79191896314197E-5	3.027088791406579E-5	7.222031063744969E-5
7	0.0022686104494422654	0.20456681996695236	0.021038293254182324	0.03743091532281145	0.016426995919418107	1.1129988594376116E-4	3.663529216588611E-4	7.640998507481634E-4	1.7427427458430893E-5	2.294212756306654E-5	4.17834359719586E-5
8	0.7896038137116351	0.6361911721869637	0.04475686442177922	0.22076271848607534	0.02627841518081746	0.003003276462527322	0.005590373615751399	0.002556861922991123	0.01976796218355603	0.025161604397102473	0.0011660668928209791
9	0.30223854301089115	0.007831788490690845	0.0019947531313678777	2.2451785515310364E-4	6.350795177882145E-4	1.2739444615636006E-4	3.6196322697573494E-5	7.197152637186254E-5	2.14431493490581E-4	0.006822497275475579	0.005600776149744319
10	0.0051680790478613806	9.71976281677037E-4	0.001556784149846417	1.905604982976096E-4	7.113766632603038E-4	6.928491329354426E-5	2.1632660136628835E-5	8.193167428058159E-5	2.7847113386073418E-5	0.006642799717867296	0.005012411417810652
11	0.014503867942337505	3.6821573344675274E-4	0.007518352128391301	8.358336029035817E-5	0.0024706950154460257	0.002570181595358735	3.843107573934801E-5	1.1125439979192494E-4	1.0954313704810224E-4	0.010578449464542493	0.39884903164192037
